INFO:2015-06-04 00:11:57:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:12:20:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:12:43:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:13:06:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:13:29:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:13:52:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:14:15:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:14:38:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:15:01:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:15:25:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:15:48:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:16:11:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:16:34:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:16:57:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:17:20:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:17:43:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:18:06:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:18:29:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:18:52:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:19:15:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:19:38:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
